source_file_id,source_file_name
1,Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet
2,Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet
3,DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet
4,DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet
5,DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet
6,DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet
7,Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet
8,Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet
9,Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet
10,Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet
