feature,target_correlation,absolute_target_correlation
Fwd Seg Size Min,0.32928395937455646,0.32928395937455646
Init Bwd Win Bytes,-0.27962229098003605,0.27962229098003605
Fwd Packet Length Max,-0.18544536831421507,0.18544536831421507
Bwd Packet Length Min,-0.17851575841275175,0.17851575841275175
Protocol,-0.17782695103143878,0.17782695103143878
Fwd Packet Length Std,-0.17150757852544626,0.17150757852544626
Avg Fwd Segment Size,-0.14949641043917092,0.14949641043917092
Fwd Packet Length Mean,-0.14949641043917092,0.14949641043917092
RST Flag Count,0.14044689659221327,0.14044689659221327
ECE Flag Count,0.14044689659221327,0.14044689659221327
Avg Packet Size,-0.13079641398292807,0.13079641398292807
PSH Flag Count,0.1283026981986873,0.1283026981986873
Packet Length Mean,-0.11636080108525439,0.11636080108525439
Fwd IAT Total,-0.11332132354011847,0.11332132354011847
Flow Duration,-0.11241878637030026,0.11241878637030026
Down/Up Ratio,0.09534660056770375,0.09534660056770375
Packet Length Min,-0.09350393755753265,0.09350393755753265
Fwd Packet Length Min,-0.09038711514067327,0.09038711514067327
Packet Length Variance,-0.08850209391462513,0.08850209391462513
Init Fwd Win Bytes,0.08676062636570231,0.08676062636570231
Fwd IAT Max,-0.08509995565450813,0.08509995565450813
Flow IAT Max,-0.08452528459307017,0.08452528459307017
Fwd IAT Std,-0.08086010836598599,0.08086010836598599
Flow IAT Min,-0.07811068122681343,0.07811068122681343
Avg Bwd Segment Size,-0.07628454083473676,0.07628454083473676
Bwd Packet Length Mean,-0.07628454083473676,0.07628454083473676
Flow IAT Mean,-0.07350593543769947,0.07350593543769947
Packet Length Std,-0.06951259204924741,0.06951259204924741
Bwd IAT Total,-0.06872812886507379,0.06872812886507379
Bwd IAT Min,0.06700154737107956,0.06700154737107956
Bwd IAT Mean,0.06151935185961761,0.06151935185961761
Fwd IAT Mean,-0.0607333932546716,0.0607333932546716
Packet Length Max,-0.05719281937848092,0.05719281937848092
Idle Min,-0.05545873711840698,0.05545873711840698
Idle Mean,-0.05064434060816032,0.05064434060816032
Bwd Packet Length Std,0.04898495148092559,0.04898495148092559
Fwd IAT Min,-0.04748104105934171,0.04748104105934171
Idle Std,0.04138598789056615,0.04138598789056615
Fwd PSH Flags,-0.04114028176592901,0.04114028176592901
SYN Flag Count,-0.04114028176592901,0.04114028176592901
Idle Max,-0.04023561818106744,0.04023561818106744
Bwd Packet Length Max,0.039071034489754304,0.039071034489754304
ACK Flag Count,0.03406653130694678,0.03406653130694678
Fwd Packets Length Total,0.027905513532767854,0.027905513532767854
Subflow Fwd Bytes,0.027905513532767854,0.027905513532767854
Fwd Header Length,0.02741380380865228,0.02741380380865228
Fwd Act Data Packets,0.02701253669933027,0.02701253669933027
Subflow Fwd Packets,0.02677789570518921,0.02677789570518921
Total Fwd Packets,0.02677789570518921,0.02677789570518921
CWE Flag Count,0.02366341094161095,0.02366341094161095
Fwd URG Flags,0.02366341094161095,0.02366341094161095
Flow Bytes/s,-0.02090399734253,0.02090399734253
Flow Packets/s,-0.013668280271726528,0.013668280271726528
URG Flag Count,-0.013054162280615945,0.013054162280615945
Bwd Packets/s,-0.012161506930777426,0.012161506930777426
Bwd Packets Length Total,-0.012078847469157432,0.012078847469157432
Subflow Bwd Bytes,-0.012078847469157432,0.012078847469157432
Fwd Packets/s,-0.011558538736243617,0.011558538736243617
Active Min,0.011532153946108627,0.011532153946108627
Active Mean,0.010245943646837945,0.010245943646837945
Total Backward Packets,-0.008712183986557126,0.008712183986557126
Subflow Bwd Packets,-0.008712183986557126,0.008712183986557126
FIN Flag Count,-0.004262211599938847,0.004262211599938847
Bwd Header Length,-0.003559533429068264,0.003559533429068264
Flow IAT Std,-0.0034764293477315003,0.0034764293477315003
Active Max,0.002295012496575203,0.002295012496575203
Bwd IAT Std,-0.001377976350764772,0.001377976350764772
Active Std,-0.0010109969900850488,0.0010109969900850488
Bwd IAT Max,2.7463988588289336e-05,2.7463988588289336e-05
