feature,native_importance,native_rank,permutation_importance_mean,permutation_importance_std,permutation_rank,mean_absolute_shap,shap_rank,native_importance_normalised,permutation_importance_normalised,shap_importance_normalised,combined_rank
Fwd Seg Size Min,0.16009054,1,0.09058944579045432,0.004051512957413574,1,1.0124186,1,0.16009055,0.46822015143845613,0.15546022,1.0
RST Flag Count,0.10504594,3,0.010369248394227962,0.0005056089028743376,3,0.8058055,3,0.105045944,0.05359444481732308,0.123734094,3.0
Init Fwd Win Bytes,0.06722705,6,0.07126462795299075,0.00046461868592367764,2,0.88190955,2,0.06722706,0.368337995681508,0.13542011,3.3333333333333335
Bwd IAT Min,0.15498468,2,0.002430944440922326,6.792582615081498e-05,6,0.52309924,4,0.1549847,0.01256456714505104,0.080323614,4.0
Fwd IAT Std,0.07188603,5,0.001983418696436886,0.00012970355312000992,7,0.33788416,7,0.07188604,0.010251487845059776,0.051883228,6.333333333333333
Init Bwd Win Bytes,0.05286307,9,0.002863358171866707,0.00036899464111785844,5,0.39853683,6,0.052863073,0.014799538568269308,0.061196644,6.666666666666667
Flow Duration,0.09598925,4,0.0018581248794592813,0.0004016912555979596,8,0.29287654,8,0.09598926,0.009603894856189345,0.04497216,6.666666666666667
Fwd Packet Length Max,0.01939441,14,0.006751642329666223,0.00015224694762837565,4,0.50328207,5,0.019394413,0.034896504404795914,0.07728062,7.666666666666667
Bwd Packet Length Std,0.059036177,7,0.00024516571834691064,0.0003455091007252694,14,0.24480781,9,0.05903618,0.001267162292144239,0.037591048,10.0
Packet Length Max,0.053593718,8,0.0005692276559564983,0.0005014171880243518,13,0.20075598,12,0.05359372,0.0029421071842233686,0.030826744,11.0
Flow IAT Max,0.021078048,13,0.00118725885934227,0.0005671956879443038,10,0.18023862,14,0.02107805,0.006136460136909934,0.027676234,12.333333333333334
Bwd Packets Length Total,0.022939539,11,0.001423876931168892,0.00024287668597176395,9,0.080198884,17,0.02293954,0.00735944310647139,0.012314803,12.333333333333334
Flow IAT Mean,0.012433318,16,0.0009655981722164938,0.0004641204591969078,11,0.19345464,13,0.012433319,0.004990785830279841,0.029705597,13.333333333333334
Fwd Packet Length Std,0.006796482,19,0.0008778110031237111,0.00024414893516339824,12,0.23637979,10,0.0067964825,0.004537049512010993,0.036296897,13.666666666666666
Subflow Fwd Bytes,0.022126017,12,-0.00033442991881153333,0.00030972275037531485,19,0.21546422,11,0.022126019,0.0,0.033085242,14.0
Bwd Packet Length Max,0.0143404,15,-1.4373493215017833e-05,0.0002376884820289331,17,0.117368534,15,0.014340401,0.0,0.018022325,15.666666666666666
Packet Length Mean,0.034173813,10,-0.0006381726159187343,0.00022655522695986895,20,0.07336343,19,0.034173816,0.0,0.011265197,16.333333333333332
Avg Bwd Segment Size,0.00963534,18,8.861503800265218e-05,0.00030324102398309984,15,0.09631969,16,0.009635341,0.0004580152373302014,0.014790206,16.333333333333332
Avg Fwd Segment Size,0.012392063,17,-3.717171742079195e-05,0.00023395686359324892,18,0.07982672,18,0.012392064,0.0,0.012257656,17.666666666666668
Packet Length Variance,0.0039741634,20,7.814878979643206e-06,0.0001848249172361898,16,0.038406156,20,0.003974164,4.039194397751044e-05,0.005897392,18.666666666666668
