feature,target_correlation,absolute_target_correlation,mutual_information,random_forest_importance,target_correlation_rank,mutual_information_rank,random_forest_rank,mean_rank,consensus_position,final_consensus_position
Fwd Packet Length Max,-0.18544536831421507,0.18544536831421507,0.30287999604143545,0.04953941492806103,3.0,10.0,1.0,4.666666666666667,1,1
Init Bwd Win Bytes,-0.27962229098003605,0.27962229098003605,0.24768846392940747,0.042964924068396734,2.0,14.0,2.0,6.0,2,2
Fwd Packet Length Std,-0.17150757852544626,0.17150757852544626,0.2905477662052025,0.0368997348974261,6.0,12.0,5.0,7.666666666666667,3,3
Avg Fwd Segment Size,-0.14949641043917092,0.14949641043917092,0.3044897861932181,0.02757278234372956,7.5,8.0,8.0,7.833333333333333,4,4
Init Fwd Win Bytes,0.08676062636570231,0.08676062636570231,0.24142924420988843,0.04037423660554499,20.0,16.0,3.0,13.0,6,5
Fwd Seg Size Min,0.32928395937455646,0.32928395937455646,0.06652029093064282,0.034705994283738384,1.0,46.0,6.0,17.666666666666668,7,6
Flow Duration,-0.11241878637030026,0.11241878637030026,0.1958667707949826,0.02291112694065823,15.0,26.0,14.0,18.333333333333332,8,7
Flow IAT Max,-0.08452528459307017,0.08452528459307017,0.21197946829888603,0.023853928279715757,22.0,22.0,12.0,18.666666666666668,9,8
Packet Length Variance,-0.08850209391462513,0.08850209391462513,0.24299148502533185,0.01632020894996484,19.0,15.0,26.0,20.0,10,9
Subflow Fwd Bytes,0.027905513532767854,0.027905513532767854,0.3108095837717204,0.025986260312270432,44.5,6.0,10.0,20.166666666666668,11,10
Flow IAT Mean,-0.07350593543769947,0.07350593543769947,0.1851734402566516,0.027848676046149476,27.0,28.0,7.0,20.666666666666668,13,11
Packet Length Mean,-0.11636080108525439,0.11636080108525439,0.2289710847714308,0.01395128493498356,13.0,19.0,31.0,21.0,14,12
Packet Length Max,-0.05719281937848092,0.05719281937848092,0.23546154058995916,0.020964268503165413,33.0,18.0,18.0,23.0,18,13
Avg Bwd Segment Size,-0.07628454083473676,0.07628454083473676,0.3133903306290966,0.011107860431148035,25.5,4.0,42.0,23.833333333333332,19,14
Fwd IAT Std,-0.08086010836598599,0.08086010836598599,0.1733795197736303,0.020848476749161852,23.0,32.0,19.0,24.666666666666668,22,15
Bwd Packet Length Std,0.04898495148092559,0.04898495148092559,0.29761437938381285,0.013112887581017422,36.0,11.0,36.0,27.666666666666668,27,16
