feature,permutation_importance_mean,permutation_importance_std,permutation_rank
Fwd Seg Size Min,0.09058944579045432,0.004051512957413574,1
Init Fwd Win Bytes,0.07126462795299075,0.00046461868592367764,2
RST Flag Count,0.010369248394227962,0.0005056089028743376,3
Fwd Packet Length Max,0.006751642329666223,0.00015224694762837565,4
Init Bwd Win Bytes,0.002863358171866707,0.00036899464111785844,5
Bwd IAT Min,0.002430944440922326,6.792582615081498e-05,6
Fwd IAT Std,0.001983418696436886,0.00012970355312000992,7
Flow Duration,0.0018581248794592813,0.0004016912555979596,8
Bwd Packets Length Total,0.001423876931168892,0.00024287668597176395,9
Flow IAT Max,0.00118725885934227,0.0005671956879443038,10
Flow IAT Mean,0.0009655981722164938,0.0004641204591969078,11
Fwd Packet Length Std,0.0008778110031237111,0.00024414893516339824,12
Packet Length Max,0.0005692276559564983,0.0005014171880243518,13
Bwd Packet Length Std,0.00024516571834691064,0.0003455091007252694,14
Avg Bwd Segment Size,8.861503800265218e-05,0.00030324102398309984,15
Packet Length Variance,7.814878979643206e-06,0.0001848249172361898,16
Bwd Packet Length Max,-1.4373493215017833e-05,0.0002376884820289331,17
Avg Fwd Segment Size,-3.717171742079195e-05,0.00023395686359324892,18
Subflow Fwd Bytes,-0.00033442991881153333,0.00030972275037531485,19
Packet Length Mean,-0.0006381726159187343,0.00022655522695986895,20
