feature,mean_absolute_shap,shap_rank
Fwd Seg Size Min,1.0124186,1
Init Fwd Win Bytes,0.88190955,2
RST Flag Count,0.8058055,3
Bwd IAT Min,0.52309924,4
Fwd Packet Length Max,0.50328207,5
Init Bwd Win Bytes,0.39853683,6
Fwd IAT Std,0.33788416,7
Flow Duration,0.29287654,8
Bwd Packet Length Std,0.24480781,9
Fwd Packet Length Std,0.23637979,10
Subflow Fwd Bytes,0.21546422,11
Packet Length Max,0.20075598,12
Flow IAT Mean,0.19345464,13
Flow IAT Max,0.18023862,14
Bwd Packet Length Max,0.117368534,15
Avg Bwd Segment Size,0.09631969,16
Bwd Packets Length Total,0.080198884,17
Avg Fwd Segment Size,0.07982672,18
Packet Length Mean,0.07336343,19
Packet Length Variance,0.038406156,20
