feature,mutual_information
Subflow Bwd Bytes,0.318649323051861
Bwd Packets Length Total,0.31833727609604257
Bwd Packet Length Mean,0.31420847822513887
Avg Bwd Segment Size,0.3133903306290966
Bwd Packet Length Max,0.31111775618060733
Subflow Fwd Bytes,0.3108095837717204
Fwd Packets Length Total,0.3097507935222874
Avg Fwd Segment Size,0.3044897861932181
Fwd Packet Length Mean,0.3038067287622874
Fwd Packet Length Max,0.30287999604143545
Bwd Packet Length Std,0.29761437938381285
Fwd Packet Length Std,0.2905477662052025
Fwd Header Length,0.25092918442348777
Init Bwd Win Bytes,0.24768846392940747
Packet Length Variance,0.24299148502533185
Init Fwd Win Bytes,0.24142924420988843
Packet Length Std,0.24092246363137448
Packet Length Max,0.23546154058995916
Packet Length Mean,0.2289710847714308
Avg Packet Size,0.21644827873265515
Fwd IAT Max,0.21399208626934318
Flow IAT Max,0.21197946829888603
Fwd IAT Total,0.21197440932157852
Bwd Header Length,0.19884923007359467
Fwd IAT Mean,0.19701744866996873
Flow Duration,0.1958667707949826
Fwd Packets/s,0.18621686745375587
Flow IAT Mean,0.1851734402566516
Flow Packets/s,0.18163612082284453
Flow IAT Std,0.1749089730389548
Fwd IAT Min,0.1748451511590936
Fwd IAT Std,0.1733795197736303
Bwd IAT Total,0.17335930730181226
Bwd Packets/s,0.16749911650048066
Total Backward Packets,0.16564516814555685
Subflow Bwd Packets,0.16393727742067088
Bwd IAT Max,0.15822010622159155
Bwd IAT Min,0.15508704052283062
Bwd IAT Mean,0.1489929559565395
Subflow Fwd Packets,0.14252343564969117
Total Fwd Packets,0.14225274796718823
Flow Bytes/s,0.13238736884379998
Bwd IAT Std,0.13195201343817464
Flow IAT Min,0.11809266252698758
Fwd Act Data Packets,0.07545988461897735
Fwd Seg Size Min,0.06652029093064282
Idle Max,0.06543785969698224
Idle Mean,0.05842572841008886
Idle Min,0.056120698458302254
Protocol,0.02555721638353159
Bwd Packet Length Min,0.025020681543094003
Active Max,0.024395026318024593
Active Mean,0.024022116203979538
Active Min,0.023241120240329316
Packet Length Min,0.022238406291748003
Fwd Packet Length Min,0.020580862433291713
PSH Flag Count,0.017968048483910204
RST Flag Count,0.014917043726415002
ECE Flag Count,0.013380374181002352
Down/Up Ratio,0.013348008924934263
Idle Std,0.012646624878757784
Active Std,0.007856741171996307
ACK Flag Count,0.003870031177997557
URG Flag Count,0.002849925782008489
Fwd PSH Flags,0.0020472683312064976
Fwd URG Flags,0.0019088507606097593
CWE Flag Count,0.0003463746304610549
SYN Flag Count,0.0
FIN Flag Count,0.0
