feature,random_forest_importance
Fwd Packet Length Max,0.04953941492806103
Init Bwd Win Bytes,0.042964924068396734
Init Fwd Win Bytes,0.04037423660554499
Fwd IAT Min,0.040043715052191856
Fwd Packet Length Std,0.0368997348974261
Fwd Seg Size Min,0.034705994283738384
Flow IAT Mean,0.027848676046149476
Avg Fwd Segment Size,0.02757278234372956
Flow IAT Min,0.02612646546077241
Subflow Fwd Bytes,0.025986260312270432
Fwd Packets/s,0.025608520327904068
Flow IAT Max,0.023853928279715757
Fwd Packet Length Mean,0.023522887849993717
Flow Duration,0.02291112694065823
Flow Packets/s,0.022213736091827002
Fwd Packets Length Total,0.02216303347786845
Fwd Header Length,0.021473759515323584
Packet Length Max,0.020964268503165413
Fwd IAT Std,0.020848476749161852
Bwd IAT Min,0.01957144789075406
Fwd IAT Mean,0.01952703013479684
Bwd Packets/s,0.019518893155099637
Fwd IAT Max,0.019486577883053392
Fwd IAT Total,0.018130160797037456
RST Flag Count,0.01667892911036717
Packet Length Variance,0.01632020894996484
ECE Flag Count,0.015219430401190179
Bwd Packets Length Total,0.01453076199388614
Flow Bytes/s,0.014476963503023972
Bwd IAT Std,0.014384842333013072
Packet Length Mean,0.01395128493498356
Subflow Fwd Packets,0.0133836783337695
Avg Packet Size,0.013310583540677923
Subflow Bwd Packets,0.013251449905945782
Packet Length Std,0.013164751101648942
Bwd Packet Length Std,0.013112887581017422
Bwd Packet Length Max,0.012773249573348994
Total Fwd Packets,0.01236238144443404
Bwd Header Length,0.011840241753485933
Flow IAT Std,0.01169204971465809
Total Backward Packets,0.011631119945116918
Avg Bwd Segment Size,0.011107860431148035
Bwd IAT Total,0.01070899499919171
Subflow Bwd Bytes,0.01006834163468122
Bwd Packet Length Mean,0.009656841452493533
Bwd IAT Max,0.008399015123693511
Fwd Act Data Packets,0.007776649954163932
Bwd IAT Mean,0.006572395922619754
Packet Length Min,0.0057845887920091885
Idle Mean,0.004922377740141989
Idle Max,0.004880337772609901
Active Min,0.0039814943899697764
Active Max,0.00392831774722427
Idle Min,0.003784539059104066
Fwd Packet Length Min,0.0037229777319134575
ACK Flag Count,0.0036834331517856325
Active Mean,0.003536985545753628
Protocol,0.003380837449427693
Bwd Packet Length Min,0.0027654955316730677
PSH Flag Count,0.001921298510381326
Idle Std,0.0017443159584851332
Active Std,0.0013279724829156866
Down/Up Ratio,0.0008474891065587064
URG Flag Count,0.000819025276202335
Fwd PSH Flags,0.0003237878312398233
SYN Flag Count,0.00021444419166084534
FIN Flag Count,0.0001430995136260817
CWE Flag Count,2.8451839887563753e-05
Fwd URG Flags,2.7765144265384655e-05
