feature,coefficient,absolute_coefficient
RST Flag Count,1.6248806,1.6248806
Init Bwd Win Bytes,-1.5859448,1.5859448
Fwd Seg Size Min,1.4243978,1.4243978
Bwd Packet Length Max,1.0021816,1.0021816
Fwd Packet Length Std,-1.0012197,1.0012197
Flow Duration,-0.6778369,0.6778369
Fwd Packet Length Max,-0.54724133,0.54724133
Avg Bwd Segment Size,-0.499279,0.499279
Packet Length Max,-0.38385162,0.38385162
Packet Length Variance,-0.33796534,0.33796534
Packet Length Mean,-0.3024374,0.3024374
Flow IAT Mean,0.2626538,0.2626538
Subflow Fwd Bytes,0.24990213,0.24990213
Avg Fwd Segment Size,0.18150236,0.18150236
Fwd IAT Std,-0.18051732,0.18051732
Bwd Packet Length Std,0.17594951,0.17594951
Bwd IAT Min,0.16061467,0.16061467
Init Fwd Win Bytes,-0.09547004,0.09547004
Bwd Packets Length Total,0.018736305,0.018736305
Flow IAT Max,-0.0059329113,0.0059329113
