,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.20135777399516075,0.050205086557489044,-0.017823330283523276,0.04903707406536237,-0.009397617595268812,-0.34192718534478156,0.5948452818580383,-0.15412195742543133,-0.37951383109227743,-0.30405256924009505,0.8544552170007872,-0.06722774770247426,-0.3839881909861541,0.0007569043890519768,-0.02257632921423753,-0.15139331226022815,-0.09441955656404581,-0.18755897161728044,-0.13896595363854666,-0.1956011065885046,-0.15320141720867803,-0.1114103136974737,-0.18131415666762318,-0.13694105703630877,-0.12808516667152722,-0.07174372041765095,-0.113765377414474,-0.10997812806336438,-0.03443777338381877,-0.08164373440282252,-0.013914594911765495,0.04815098065057023,-0.023846052363488506,-0.02207953197474865,-0.008810640487548144,0.6193113590133991,-0.3692625107945296,-0.1094089281989598,-0.3546184835276735,-0.29543250697297146,-0.021268982413190952,-0.08164373440282252,-0.28156714352783396,-0.4718752280268225,-0.2705709064909353,-0.06501403297424367,-0.013914594911765495,-0.28156714352783396,0.31472180530467625,-0.03583532195890888,-0.15412195742543133,-0.06722774770247426,0.050205086557489044,0.04903707406536237,-0.017823330283523276,-0.009397617595268812,-0.29445727539486327,-0.18691400290681853,0.050738299282586864,-0.6613923078092693,-0.06470144979625826,-0.05998581816327793,-0.07193034161039742,-0.047744773938322785,-0.1670556766177858,-0.019781180216371083,-0.16324123493960355,-0.16658088359803627
Flow Duration,-0.20135777399516075,1.0,0.0847465949941057,0.05929057522820557,0.08716665224113374,0.04656087115527461,-0.008599732343820507,-0.014188405176530909,-0.056470991294037785,-0.06757574197623899,0.15637272252918852,-0.1559036894900973,0.16579715945008822,0.11023202013611128,-0.031209575923282114,-0.03204654834863946,0.5099361903998733,0.5312452901457068,0.7703481065570191,0.42032578546842697,0.9957229033275027,0.5606397567670346,0.600390023272166,0.7678382421180276,0.46155614559347885,0.8080607458174766,0.4196209033279422,0.5706982183852977,0.6109221270529775,0.24234613231036164,0.06292077303557264,-0.012920059493272063,0.08712139179743691,0.06052727540937717,-0.02669604608134554,-0.030038604954384443,-0.015600660300566675,0.12212436227211595,0.18179006493281083,0.11635570397359009,0.2021033366634576,-0.018275300779678687,0.06292077303557264,-0.05346431218214665,0.01325346684292516,0.06101356685800816,-0.029706119742932278,-0.012920059493272063,-0.05346431218214665,-0.07759459539794997,0.14783025187067378,-0.056470991294037785,0.16579715945008822,0.0847465949941057,0.08716665224113374,0.05929057522820557,0.04656087115527461,-0.024435479727434265,-0.11394180512693557,0.0835340493310737,-0.0394333148647281,0.20161692706794335,0.17981456859939046,0.23780694450839218,0.15541847978735143,0.7256965496034782,0.31436855409306946,0.7501210649323886,0.6932444479604424
Total Fwd Packets,0.050205086557489044,0.0847465949941057,1.0,0.02071121422206535,0.9984889780230087,0.021184586513725196,-0.01872454689815311,0.01869262271856821,-0.013442170831936703,-0.020340587077699767,-0.019891055257483463,-0.01069823002703624,-0.015448525043974657,-0.02013520505498385,-0.001385078773098996,-0.0016170058367130937,-0.007031751345398622,-0.005945195509213037,-0.007782851491525976,-0.006024718425071269,0.08509359984654022,-0.007318941632132938,-0.006491173679362702,-0.007827380133875747,-0.006239124466860623,-0.005019195808367415,-0.004161286408438616,-0.005793225971403186,-0.004811465757556208,-0.0022948822479616935,-0.004289883460243884,-0.0008159875605320923,0.9990939547166838,0.020513844526611924,-0.001256233414541209,-0.0018583692528754883,0.019534447187082634,-0.02234098335246145,-0.011345962609767174,-0.02304531375890216,-0.014074995927448002,-0.0012460993388021056,-0.004289883460243884,-0.015277011682675435,-0.024681884252402326,-0.015434093858932461,-0.0037977236756403026,-0.0008159875605320923,-0.015277011682675435,-0.017039348534936986,-0.01378055797185278,-0.013442170831936703,-0.015448525043974657,1.0,0.9984889780230087,0.02071121422206535,0.021184586513725196,-0.015983605321622293,-0.00996757613833757,0.999741255279983,-0.036596085005766214,-0.0004380471504898466,0.00036179767764126354,-0.00028730338465833793,-0.0007342828617609337,-0.00723893499643898,-0.000978014626413781,-0.0072356407940813265,-0.00716090484960643
Total Backward Packets,-0.017823330283523276,0.05929057522820557,0.02071121422206535,1.0,0.001898680472333811,0.997627084553696,0.027300220294607803,-0.012152763115851437,0.0022668313072421046,0.004581658667701876,0.0643254888423499,-0.014448013938582353,0.14829199339045512,0.022019826462651656,-0.000763470587831636,-0.0033900837304347256,-0.011610243301480333,0.004096145760143066,0.029280314505600428,-0.011598734261888281,0.04848809027176301,-0.01029237322107217,0.01302064694527092,0.012426945951766749,-0.011631196664506852,0.0757953295523642,-0.00022737775752893204,0.011446646903947576,0.05367186174557275,-0.0029499117206307403,0.00828683603998161,-0.0015607382836947562,0.06010385897962302,0.9997020475788085,-0.0029514583378602408,-0.002696903789112731,-0.012459451026580005,0.0584694882820877,0.16909541908448464,0.06994499742543567,0.09494343589892863,-0.001886494003946395,0.00828683603998161,0.0008104800160952928,0.030696954466397648,-0.016440779394998814,-0.005519478414050102,-0.0015607382836947562,0.0008104800160952928,0.08518255664382429,0.15897145244884123,0.0022668313072421046,0.14829199339045512,0.020711214222065347,0.001898680472333811,1.0,0.997627084553696,-0.000180048829587086,-0.00031776839620262833,-0.0008215451555083403,0.010317740480626711,0.043711111023875086,0.04934409416567208,0.05325872142933615,0.02784260841959597,0.023226675083019146,0.06880880953731243,0.02869347798766397,0.016225977100412115
Fwd Packets Length Total,0.04903707406536237,0.08716665224113374,0.9984889780230087,0.001898680472333811,1.0,0.0012244958693628653,-0.012302127660921666,0.018562360351674606,-0.0010679314502896255,-0.014567449740509195,-0.01544461584900757,-0.012463097379272753,-0.009101338588792921,-0.017050484933235095,-0.0013058104422391512,-0.0019599728863285725,-0.008165580377853972,-0.00555451421176883,-0.008461893865685851,-0.007223047710660215,0.08780013287324843,-0.008384735082579453,-0.005481675007924517,-0.008047649039996836,-0.007449059597109591,-0.0013318931357344569,-0.0036090417905315685,-0.004639888577046966,-0.004408065027942209,-0.0021439772256484782,-0.0049297386117029,-0.0009792630875617183,0.9967992100440697,0.0012906995146363752,-0.0015480059777976001,-0.002156947667231022,0.01931870342733637,-0.01673749605325446,-0.003200017572314929,-0.017545834872612937,-0.008046369483447629,-0.0014618162071706898,-0.0049297386117029,-0.012872029980364031,-0.02190461626293406,-0.01714049557168387,-0.004333232957443189,-0.0009792630875617183,-0.012872029980364031,-0.01880647166545313,-0.006047708233298242,-0.0010679314502896255,-0.009101338588792921,0.9984889780230087,1.0,0.001898680472333811,0.0012244958693628653,-0.015206085036618553,-0.008373908846442688,0.9986995040657912,-0.0352157136771663,-0.00014468120169663156,0.002106956247898049,0.0016397659040916464,-0.0009722349993086082,-0.008053588203097558,-0.001021081049897696,-0.007927860247115033,-0.008025308827927272
Bwd Packets Length Total,-0.009397617595268812,0.04656087115527461,0.021184586513725196,0.997627084553696,0.0012244958693628653,1.0,0.010277147401455907,-0.006193095982134286,-0.008316773472555205,-0.004540943920073279,0.04225199442483885,-0.00674036991764766,0.13827517179769322,0.006238580368134011,0.00048506186096746216,-0.0016196601274372463,-0.00559387393017976,0.000547913050793854,0.028988205278114233,-0.00513282447185415,0.0357786431374995,-0.005259406275397358,0.0055887974106350255,0.012058695687047706,-0.005313294997216868,0.05629278634441483,-0.002265589876348049,0.003430736415381887,0.04484746041781112,-0.0020344681544590677,0.00850808103794639,-0.0006936064865200552,0.0602838858290061,0.9969912521152554,-0.0013788687197785966,-0.0014063579024456959,-0.006322921147225238,0.037978128542388426,0.1560900838674021,0.05515322372075461,0.08441219372227683,-0.0010209397152067389,0.00850808103794639,-0.0019772891897337458,0.01341355821748633,-0.005732516765036642,-0.003105871144655968,-0.0006936064865200552,-0.0019772891897337458,0.0692200388186064,0.14757982386646037,-0.008316773472555205,0.13827517179769322,0.0211845865137252,0.0012244958693628653,0.997627084553696,1.0,-0.004453187727344916,-0.005153318627380226,-0.0003822384039321287,0.0001213304998588341,0.04167689536287216,0.046742692880069645,0.04959175820266295,0.026436909124075446,0.02207487129603379,0.06676190281729939,0.027441390260949376,0.015371104611386969
Fwd Packet Length Max,-0.34192718534478156,-0.008599732343820507,-0.01872454689815311,0.027300220294607803,-0.012302127660921666,0.010277147401455907,1.0,-0.1701508513109918,0.8436606505455896,0.9408522658327596,0.5034336613253227,-0.3247353748918643,0.31512538942197643,0.5051246842349647,0.010066006408957847,-0.05571958524661593,-0.2087400676663505,0.03220781985611528,-0.11205415308941556,-0.21259216735865152,-0.006906642173033036,-0.19258500488542643,0.11901125569408966,-0.10742024293282398,-0.21122910858993604,0.10474503077250437,-0.024481209387168863,0.06660858586794291,0.036532205054995756,-0.05860562238332814,-0.12536959474029463,-0.028973374479067893,-0.01571994088118219,0.03517312252639127,-0.04766599366395883,-0.04751304891916108,-0.1796483693619697,0.7576011575305689,0.5152502872773475,0.6978216141474666,0.5074793351922573,-0.03491260028001935,-0.12536959474029463,0.339048447598803,0.4637857539165519,-0.17631176732876327,-0.07326200906304854,-0.028973374479067893,0.339048447598803,-0.15485597865355666,0.5049081393889202,0.8436606505455896,0.31512538942197643,-0.018724546898153113,-0.012302127660921666,0.027300220294607803,0.010277147401455905,0.3514602115963136,0.46618606519329736,-0.019246177639169856,0.3766881467227173,-0.014167680396566957,-0.00817732863497843,-0.006082223081631144,-0.010859627512017038,-0.11996053635706296,0.0024248500209314372,-0.1167375533915925,-0.12235850716153843
Fwd Packet Length Min,0.5948452818580383,-0.014188405176530909,0.01869262271856821,-0.012152763115851437,0.018562360351674606,-0.006193095982134286,-0.1701508513109918,1.0,0.15653577578337097,-0.24850676668399382,-0.20622298599261624,0.4799808628724945,-0.0649095642450471,-0.25051643119973654,0.025059694811316834,-0.0050623012200242444,-0.0251892597757769,0.03671130157287121,-0.022877806589882237,-0.0476576933058962,-0.010299980010384069,-0.028733382866107646,0.039207151952504786,-0.018493823269905247,-0.04524400090844386,-0.08106822491193001,-0.03707531629393423,-0.07459924045660409,-0.06626281878525249,-0.010966699883032756,-0.0201830323497431,-0.009134503073240798,0.017337858640039908,-0.015773960359091233,-0.009822122804978569,0.016409113176283446,0.963695658474156,-0.21282957644037798,0.08291008109441989,-0.2378985856410396,-0.18943500588722537,-0.013962431996760727,-0.0201830323497431,-0.18484015914138588,-0.30977155626375213,-0.16268137468886115,-0.023662978388628682,-0.009134503073240798,-0.18484015914138588,0.149445342576442,0.15178347614945892,0.15653577578337097,-0.0649095642450471,0.01869262271856821,0.018562360351674606,-0.012152763115851437,-0.006193095982134286,-0.19227841641515922,-0.12266253136888511,0.019001191160037123,-0.4331097544576509,0.044152868257854416,-0.015073815355747824,0.02574574251948528,0.059873559242784036,-0.037581524168005545,0.18684842553422484,-0.0023842057028683338,-0.06170224453767233
Fwd Packet Length Mean,-0.15412195742543133,-0.056470991294037785,-0.013442170831936703,0.0022668313072421046,-0.0010679314502896255,-0.008316773472555205,0.8436606505455896,0.15653577578337097,1.0,0.8552937552311246,0.3452125649278884,-0.1734643861103242,0.26678129863841077,0.38209892886403723,0.029682814276781887,-0.05502863548220591,-0.21624984108576806,0.06930877842466925,-0.11088690613752182,-0.23365971187737455,-0.05459289612882404,-0.2003320624834762,0.12656090409102838,-0.10638254563452545,-0.2199381057970913,0.023495864913086497,0.016661919403278904,0.07589547437015742,0.033446641515970946,-0.01184387590293818,-0.09445655982327038,-0.03272535811923176,-0.011989311654940124,0.00458667605066337,-0.048738815290666225,-0.0406440388623865,0.13302243670970113,0.6068660066570268,0.5544250268182892,0.5907551067905313,0.4214707789984066,-0.038555660800222845,-0.09445655982327038,0.331198477944619,0.3659199990076653,-0.22641865375869444,-0.07772011612224607,-0.03272535811923176,0.331198477944619,-0.06694094419327223,0.5743659524362632,1.0,0.26678129863841077,-0.013442170831936705,-0.00106793145028963,0.0022668313072421046,-0.008316773472555205,0.30986631304891926,0.36106413659673936,-0.013498801304466634,0.19966727830719674,0.033616846127237844,0.0010778694402684657,0.028483111219428387,0.04039211010612087,-0.13972437555808098,0.14120936824491467,-0.10941637880211055,-0.1582562606664172
Fwd Packet Length Std,-0.37951383109227743,-0.06757574197623899,-0.020340587077699767,0.004581658667701876,-0.014567449740509195,-0.004540943920073279,0.9408522658327596,-0.24850676668399382,0.8552937552311246,1.0,0.36974870890930217,-0.3527330169753151,0.25849623829269824,0.45284277991556443,0.02098484421575028,-0.05003960601981317,-0.19769454519312743,0.02508561731326625,-0.1235097466737968,-0.20063511277838772,-0.06691521984079207,-0.1820990356034536,0.08281679432070725,-0.12049484836003642,-0.19322111555899613,0.031643444200798926,-0.02899827242708218,0.03876495254275624,0.0014376632190959714,-0.052376622592689596,-0.11132341783970308,-0.0271270249026991,-0.018934019702456326,0.008544185524938004,-0.04253743266481338,-0.0436869711769959,-0.2544114659401481,0.6730350755718889,0.454721157859308,0.6791418795526922,0.48730959880123115,-0.03015190196922761,-0.11132341783970308,0.40411671403404276,0.42565843745860726,-0.1035225395100379,-0.05802683802557926,-0.0271270249026991,0.40411671403404276,-0.14507862935753435,0.4514470921665489,0.8552937552311247,0.25849623829269824,-0.020340587077699767,-0.014567449740509195,0.004581658667701878,-0.004540943920073278,0.4117918692275545,0.38413595605937534,-0.020490327980120945,0.3769077921944274,-0.022719526596839613,-0.01306573496685023,-0.01709419775376709,-0.019357330789633254,-0.1335186758482153,-0.022363852544051,-0.13309812842426932,-0.13256019355251145
