feature,unique_values,variance,dominant_value_percentage,is_constant,is_near_constant
Bwd PSH Flags,1,0.0,100.0,True,True
Bwd URG Flags,1,0.0,100.0,True,True
Fwd Avg Bytes/Bulk,1,0.0,100.0,True,True
Fwd Avg Packets/Bulk,1,0.0,100.0,True,True
Fwd Avg Bulk Rate,1,0.0,100.0,True,True
Bwd Avg Bytes/Bulk,1,0.0,100.0,True,True
Bwd Avg Packets/Bulk,1,0.0,100.0,True,True
Bwd Avg Bulk Rate,1,0.0,100.0,True,True
Fwd URG Flags,2,0.000991232118106057,99.9007783388089,False,True
CWE Flag Count,2,0.000991232118106057,99.9007783388089,False,True
FIN Flag Count,2,0.0023098120726320597,99.7684827905541,False,False
URG Flag Count,2,0.020772020142914377,97.87775891341256,False,False
Fwd PSH Flags,2,0.03196970956230456,96.69371375653209,False,False
SYN Flag Count,2,0.03196970956230456,96.69371375653209,False,False
ACK Flag Count,2,0.19847731634557467,72.69860869181753,False,False
RST Flag Count,2,0.20552535368135624,71.08901285471744,False,False
ECE Flag Count,2,0.20552535368135624,71.08901285471744,False,False
PSH Flag Count,2,0.24889808148648807,53.31951579829338,False,False
Down/Up Ratio,22,0.4797962237257242,52.25012678323374,False,False
Protocol,3,18.57294942973425,80.78848146759861,False,False
Fwd Seg Size Min,9,65.02779536819722,57.65329746654025,False,False
Packet Length Min,85,810.2621715195762,81.93173549710052,False,False
Fwd Packet Length Min,95,873.3685146869865,81.57123012810618,False,False
Bwd Packet Length Min,254,2151.464325871059,82.35508125151588,False,False
Fwd Packet Length Mean,5164,4975.0966796875,20.30075187969925,False,False
Avg Fwd Segment Size,5164,4975.0966796875,20.30075187969925,False,False
Packet Length Mean,8538,11021.2158203125,20.220272087844243,False,False
Avg Packet Size,8305,12016.5283203125,20.220272087844243,False,False
Fwd Packet Length Std,6749,19190.296875,38.54651290984059,False,False
Total Backward Packets,268,22999.129544674208,19.629351972306132,False,False
Subflow Bwd Packets,268,22999.129544674208,19.629351972306132,False,False
Packet Length Std,9524,26985.453125,21.154058165942715,False,False
Bwd Packet Length Mean,5685,28790.59375,26.056710691685225,False,False
Avg Bwd Segment Size,5685,28790.59375,26.056710691685225,False,False
Bwd Packet Length Std,6190,44004.47265625,43.509800895199874,False,False
Fwd Packet Length Max,1126,113175.71303702562,20.30075187969925,False,False
Bwd Packet Length Max,719,248003.98728450996,26.056710691685225,False,False
Packet Length Max,829,256515.3693400287,20.220272087844243,False,False
Bwd Header Length,574,9212328.917980822,19.518003219191673,False,False
Fwd Act Data Packets,131,9456449.41722028,38.28081935042886,False,False
Total Fwd Packets,248,9460959.743016498,22.880515070667872,False,False
Subflow Fwd Packets,248,9460959.743016498,22.880515070667872,False,False
Bwd Packets/s,55817,318759840.0,19.458470222477015,False,False
Init Bwd Win Bytes,1401,364913707.97715265,36.732961435847685,False,False
Init Fwd Win Bytes,1056,439665217.6505878,32.43997089497939,False,False
Fwd Header Length,441,607653676.5232105,15.637333803717505,False,False
Fwd Packets/s,70396,4540490240.0,0.07827486605075738,False,False
Flow Packets/s,75082,5309748613.258091,0.06725023702952396,False,False
Packet Length Variance,9528,6498044928.0,21.154058165942715,False,False
Fwd Packets Length Total,2669,9708204053.259842,20.30075187969925,False,False
Subflow Fwd Bytes,2669,9708204053.259842,20.30075187969925,False,False
Bwd Packets Length Total,4481,48236733497.22838,26.056710691685225,False,False
Subflow Bwd Bytes,4481,48236733497.22838,26.056710691685225,False,False
Active Std,6016,1340346990592.0,93.32017727603467,False,False
Active Min,8337,2541310779800.48,88.63911979361895,False,False
Flow Bytes/s,67941,3002437328958.7104,20.220272087844243,False,False
Active Mean,9481,3634780438528.0,88.63911979361895,False,False
Idle Std,6640,5046835609600.0,92.07218927083105,False,False
Active Max,9442,6578531956429.961,88.63911979361895,False,False
Bwd IAT Std,45893,15905992998912.0,48.10045641964148,False,False
Fwd IAT Std,47275,16473896517632.0,33.55897074063458,False,False
Flow IAT Std,62433,25394187075584.0,27.58031442241969,False,False
Bwd IAT Min,18322,35581785863417.42,41.2155755958812,False,False
Bwd IAT Mean,46501,48278230007808.0,37.77258395255,False,False
Bwd IAT Max,39627,140831379465183.75,37.77258395255,False,False
Flow IAT Min,16915,186288859941060.3,7.733777258395255,False,False
Flow IAT Mean,67118,191067810955264.0,0.22379996913103875,False,False
Fwd IAT Min,20332,222192791449443.84,15.4576323506714,False,False
Fwd IAT Mean,57302,222471454195712.0,14.895376270588494,False,False
Idle Min,11582,267125188706353.44,82.38484774987322,False,False
Idle Mean,11210,272819963297792.0,82.38484774987322,False,False
Idle Max,10356,291658682503018.94,82.38484774987322,False,False
Fwd IAT Max,52703,320607919775552.4,14.895376270588494,False,False
Flow IAT Max,57195,322945141954212.0,1.0859259585914933,False,False
Bwd IAT Total,43369,673160804931052.1,37.77258395255,False,False
Fwd IAT Total,53934,952771532361066.9,14.895376270588494,False,False
Flow Duration,67669,955268530637253.9,0.0837871805613741,False,False
